Sentiment,Magnitude,DJIA,NASDAQComp,S&P500,SPXL,SPXS,DateTime,FaultyLinks,CommentsAnalyzed
-0.20000000298023224,164.39999389648438,31385.76,13987.64,3915.59,81.45,33.8,2021-02-08 20:30:10.715529,0,257
-0.30000001192092896,144.0,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 04:00:22.044152,0,242
-0.30000001192092896,156.0,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 04:30:17.868339,0,243
-0.4000000059604645,140.1999969482422,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 05:00:11.525257,0,209
-0.30000001192092896,132.8000030517578,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 05:30:10.550821,0,202
-0.30000001192092896,133.3000030517578,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 06:00:10.824268,0,205
-0.30000001192092896,143.0,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 06:30:12.024651,0,232
-0.30000001192092896,148.6999969482422,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 07:00:21.181352,0,217
-0.30000001192092896,154.1999969482422,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 07:30:10.042506,0,220
-0.30000001192092896,169.1999969482422,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 08:00:10.932968,0,260
-0.30000001192092896,171.8000030517578,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 08:30:12.334024,0,256
-0.30000001192092896,153.5,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 09:00:10.573456,0,236
-0.30000001192092896,146.3000030517578,31385.76,13987.64,3915.59,81.45,33.8,2021-02-09 09:30:12.265214,0,230
-0.30000001192092896,168.89999389648438,31299.83,14013.2,3912.51,81.09,33.86,2021-02-09 10:00:14.353646,0,240
-0.30000001192092896,167.89999389648438,31305.39,14028.44,3911.02,81.26,33.88,2021-02-09 10:30:16.970676,0,240
-0.30000001192092896,143.6999969482422,31320.09,14027.68,3910.37,81.18,33.91,2021-02-09 11:00:11.402574,0,251
