DateTime,Tone,DJIAChange,NASDAQChange,S&P500Change
2021-02-18 10:30:9,-0.183870975,122.19,119.51,-12.32
2021-02-18 11:0:8,-0.1260000019,-93.66,-64.34,10.37
2021-02-18 11:30:8,-0.1852000043,4.35,-29.92,2.32
2021-02-18 12:0:9,-0.1271586757,36.27,31.56,-7.51
2021-02-18 12:30:7,-0.1254804311,-11.01,-17.87,3.98
2021-02-18 13:0:35,-0.1328671348,-9.22,6.11,1.51
2021-02-18 13:30:8,-0.1372125413,-92.72,-41.53,10.03
2021-02-18 14:0:10,-0.1395333374,-5.04,-15.09,1.15
2021-02-18 14:30:8,-0.1349473726,-49.39,-10.17,3.81
2021-02-18 15:0:8,-0.1233103488,0.46,-11.49,-2.03
2021-02-18 15:30:8,-0.1411683828,-2.7,-21.3,6.05
2021-02-18 16:0:9,-0.1276923096,41.62,25.06,-4.31
2021-02-19 12:30:11,-0.1223846219,46.33,51.85,-7.49
2021-02-19 13:0:11,-0.1251538457,33.05,55.5,-4.41
2021-02-19 13:30:12,-0.1826538569,-8.21,-17.21,-1.84
2021-02-19 14:0:42,-0.1645000142,-5.98,-12.11,3.17
2021-02-19 14:30:9,-0.178846161,26.8,-7.06,-3.84
2021-02-19 15:0:15,-0.1613077022,18.41,17.36,-2.4
2021-02-19 15:30:10,-0.1749642959,-35.37,-4.44,3.85
2021-02-19 16:0:13,-0.1832000042,57.63,23.2,-6.42
2021-02-22 9:30:10,-0.17307693,-2.54,-13.08,1.11
2021-02-22 10:0:9,-0.168510645,128.91,134.01,-19.23
2021-02-22 10:30:11,-0.170117661,-29.38,68,-7.03
2021-02-22 11:0:8,-0.1729787303,-40.96,53.87,-3.74
2021-02-22 11:30:9,-0.1805618015,-62.9,-36.15,9.92
2021-02-22 12:0:8,-0.1967415877,-21.91,13.01,-0.33
2021-02-22 12:30:10,-0.2126000146,-35.37,16.59,0.28
2021-02-22 13:0:12,-0.2000682611,-46.89,-38.52,6.36
2021-02-22 13:30:8,-0.1986597986,-5.86,-13.41,6.13
2021-02-22 14:0:8,-0.1856000135,-28,-18.33,2.75
2021-02-22 14:30:8,-0.1200666725,-4.36,20.09,-2.7
2021-02-22 15:0:8,-0.1161454541,11.86,30.28,-1.91
2021-02-22 15:30:8,-0.1627241476,39.74,52.28,-9.32
2021-02-22 16:0:9,-0.1171428589,60.66,53.34,-9.25
2021-02-23 9:30:8,-0.1883181976,26.89,6.35,-2.14
2021-02-23 10:0:9,-0.2633846068,261.08,404.77,-48.14
2021-02-23 10:30:9,-0.1987029406,-133.31,-110.81,20.8
2021-02-23 11:0:10,-0.2033802812,-50.57,-131.24,10.92
2021-02-23 11:30:10,-0.1283486202,10.45,66.97,-7.62
2021-02-23 12:0:12,-0.1888846194,36.69,30.1,-5.02
2021-02-23 12:30:8,-0.2481428565,-9.6,-3.07,0.41
2021-02-23 13:0:11,-0.2090283558,35.79,47.62,-13.71
2021-02-23 13:30:8,-0.1922477099,-89.84,-84.39,23.7
2021-02-23 14:0:8,-0.1937500077,-18.43,-14.3,0.43
2021-02-23 14:30:8,-0.1942731355,-27.18,-32.56,6.55
2021-02-23 15:0:8,-0.1941635833,-38.59,-5.76,4.98
2021-02-23 15:30:11,-0.2084347949,-115.25,-142.29,24.9
2021-02-23 16:0:9,-0.2639999938,81.96,37.1,-12.55
2021-02-24 9:30:10,-0.1895238134,21.34,5.71,-0.78
2021-02-24 10:0:16,-0.2064230781,55.59,89.89,-9.99
2021-02-24 10:30:8,-0.2492307729,-115.48,-11.92,9.44
2021-02-24 11:0:8,-0.1823161871,-77.78,2.74,8.99
2021-02-24 11:30:9,-0.194357144,-82.54,-117.97,11.01
2021-02-24 12:0:8,-0.1979570037,-13.25,-1.34,3.01
2021-02-24 12:30:12,-0.2111000145,-61.19,-44.61,7.93
2021-02-24 13:0:40,-0.1674725274,-25.71,3.3,0.77
2021-02-24 13:30:8,-0.1258461604,-69.28,-10.6,6.95
2021-02-24 14:0:9,-0.182536772,-60.43,-14.59,5.3
2021-02-24 14:30:10,-0.1820000149,17.17,15.11,-2.53
2021-02-24 15:0:8,-0.1772727343,33.95,9.31,-3.53
2021-02-24 15:30:8,-0.2530000089,-38.75,-30.58,5.56
2021-02-24 16:0:9,-0.1810757044,0.79,-21.14,3.2
2021-02-26 11:4:49,-0.195775862,53.17,-67.17,0.6
2021-02-26 11:34:58,-0.1800000072,54.96,6.46,1.94
2021-02-26 12:4:30,-0.1742499993,-95.9,-79.97,7.05
2021-02-26 12:33:17,-0.2024427596,-98.43,-45.51,20.46
